#    time               <x>               <y>             var_x             var_y             var_r            <mv_x>            <mv_y>           var_mvx           var_mvy            var_mv                        E                     E-E0              <Px>            var_Px            var_Py             var_P               err
25.321237  -9.829288442e-01   1.830546881e-01   3.234752998e-01   3.017555387e-01   6.252308385e-01   1.830546881e-01   9.827022737e-01   5.936618434e-01   3.125885233e-01   9.062503667e-01   9.5273151831121528e-01   3.6837199957062694e-13  -7.507049615e-15   3.018983425e-01   3.125885233e-01   6.144868658e-01   1.212363543e-13
25.352653  -9.766950808e-01   2.138318181e-01   3.311239634e-01   3.017841299e-01   6.329080933e-01   2.138318181e-01   9.764698610e-01   5.899467143e-01   3.162990154e-01   9.062457296e-01   9.5273151831122760e-01   3.8069547514396618e-13  -7.498420623e-15   3.018983425e-01   3.162990154e-01   6.181973578e-01   1.350031198e-13
25.384069  -9.694978193e-01   2.443980025e-01   3.398941558e-01   3.018538335e-01   6.417479893e-01   2.443980025e-01   9.692741528e-01   5.856909127e-01   3.205495088e-01   9.062404214e-01   9.5273151831121272e-01   3.6581848661398908e-13  -7.469844477e-15   3.018983425e-01   3.205495088e-01   6.224478512e-01   1.281197370e-13
25.415485  -9.613441599e-01   2.747230873e-01   3.497646401e-01   3.019771721e-01   6.517418121e-01   2.747230873e-01   9.611222456e-01   5.809112177e-01   3.253232493e-01   9.062344670e-01   9.5273151831120972e-01   3.6282088444750116e-13  -7.379712977e-15   3.018983425e-01   3.253232493e-01   6.272215918e-01   1.445510378e-13
25.446900  -9.522421461e-01   3.047771564e-01   3.607115446e-01   3.021681652e-01   6.628797098e-01   3.047771564e-01   9.520221793e-01   5.756264745e-01   3.306014196e-01   9.062278941e-01   9.5273151831121550e-01   3.6859404417555197e-13  -7.453301645e-15   3.018983425e-01   3.306014196e-01   6.324997621e-01   1.476596623e-13
25.478316  -9.422007573e-01   3.345305612e-01   3.727084422e-01   3.024422607e-01   6.751507028e-01   3.345305612e-01   9.419829286e-01   5.698575200e-01   3.363632133e-01   9.062207332e-01   9.5273151831121639e-01   3.6948222259525210e-13  -7.438241002e-15   3.018983425e-01   3.363632133e-01   6.382615557e-01   1.372235658e-13
25.509732  -9.312298992e-01   3.639539495e-01   3.857264375e-01   3.028162571e-01   6.885426947e-01   3.639539495e-01   9.310143949e-01   5.636271007e-01   3.425859165e-01   9.062130172e-01   9.5273151831119807e-01   3.5116354268893701e-13  -7.165262529e-15   3.018983425e-01   3.425859165e-01   6.444842590e-01   1.185718190e-13
25.541148  -9.193403948e-01   3.930182944e-01   3.997342631e-01   3.033082207e-01   7.030424838e-01   3.930182944e-01   9.191273960e-01   5.569597839e-01   3.492449975e-01   9.062047814e-01   9.5273151831117742e-01   3.3051339443090910e-13  -7.418446907e-15   3.018983425e-01   3.492449975e-01   6.511433400e-01   1.487698853e-13
25.572564  -9.065439730e-01   4.216949233e-01   4.146983826e-01   3.039373945e-01   7.186357771e-01   4.216949233e-01   9.063336558e-01   5.498818601e-01   3.563142031e-01   9.061960632e-01   9.5273151831115577e-01   3.0886404545071855e-13  -7.049902282e-15   3.018983425e-01   3.563142031e-01   6.582125455e-01   1.152411500e-13
25.603980  -8.928532577e-01   4.499555460e-01   4.305831015e-01   3.047241019e-01   7.353072034e-01   4.499555460e-01   8.926457925e-01   5.424212402e-01   3.637656615e-01   9.061869018e-01   9.5273151831116154e-01   3.1463720517876936e-13  -6.890966672e-15   3.018983425e-01   3.637656615e-01   6.656640040e-01   1.250111126e-13
